provider,campaign,round,scenario,task,lane,seconds,model_calls_completed,depths,root_delegation_attempted,root_child_started,effect_depths,success,full_contract,task_outcome,delivery_rejections
cloud,matrix,1,simple,count,False,17.3,2,0,False,False,0,True,True,completed,[]
cloud,matrix,1,simple,count,True,12.3,3,0,False,False,0,True,True,completed,[]
cloud,matrix,1,simple,write,False,59.7,8,0,False,False,0,True,True,completed,[]
cloud,matrix,1,simple,write,True,88.7,13,0,False,False,0,True,True,completed,[]
cloud,matrix,1,medium,count,False,12.3,4,0/1,True,True,1,True,True,completed,[]
cloud,matrix,1,medium,count,True,19.8,4,0/1,True,True,1,True,True,completed,[]
cloud,matrix,1,medium,write,False,181.1,18,0/1,True,True,1,False,False,timeout,[]
cloud,matrix,1,medium,write,True,139.2,11,0/1,True,True,1,True,True,completed,[]
cloud,matrix,1,complex,count,False,15.3,4,0/1,True,True,1,True,False,completed,[]
cloud,matrix,1,complex,count,True,39.5,7,0/1/2,True,True,2,True,True,completed,[]
cloud,matrix,1,complex,write,False,48.3,15,0/1,True,True,1,True,False,completed,[]
cloud,matrix,1,complex,write,True,78.9,16,0/1,True,True,1,True,False,completed,[]
local9b,matrix,1,simple,count,False,181.3,14,0,False,False,0,False,False,timeout,[]
local9b,matrix,1,simple,count,True,96.4,15,0,False,False,0,True,True,completed,[]
local9b,matrix,1,simple,write,False,38.4,1,0,False,False,,False,False,completed,[]
local9b,matrix,1,simple,write,True,54.5,2,0,False,False,0,True,True,completed,[]
local9b,matrix,1,medium,count,False,115.0,15,0/1,True,True,1,True,True,completed,[]
local9b,matrix,1,medium,count,True,12.1,1,0,False,False,,False,False,completed,[]
local9b,matrix,1,medium,write,False,180.0,1,0/1,True,True,,False,False,timeout,[]
local9b,matrix,1,medium,write,True,181.2,2,0/1,True,True,,False,False,timeout,[]
local9b,matrix,1,complex,count,False,8.3,1,0,False,False,,False,False,completed,[]
local9b,matrix,1,complex,count,True,10.4,1,0,False,False,,False,False,completed,[]
local9b,matrix,1,complex,write,False,180.0,5,0/1,True,True,,False,False,timeout,[]
local9b,matrix,1,complex,write,True,27.2,2,0,True,False,,False,False,completed,"[{""interceptor"": ""team-gate"", ""reason"": ""agent without team"", ""rejected_type"": ""task.delegated""}]"
cloud,repeat-count,1,complex,count,False,26.4,4,0/1,True,True,1,True,False,completed,[]
cloud,repeat-count,1,complex,count,True,39.2,15,0/1/2,True,True,2,True,True,completed,[]
cloud,repeat-count,2,complex,count,False,18.3,7,0/1/2,True,True,2,True,True,completed,[]
cloud,repeat-count,2,complex,count,True,2.7,1,0,False,False,,False,False,completed,[]
